------- Iteracion 0 --------
Original,Colision,Equivalente,Hash
665534,179247,665534,2097854040
918237,351944,0,0
564738,482687,0,0
163937,475958,0,0
228844,291602,0,0
947264,567935,0,0
------- Iteracion 35 --------
Original,Colision,Equivalente,Hash
456789,610152,0,0
987654,289348,0,0
123456,283367,0,0
937586,781320,0,0
998263,375492,0,0
712874,236662,0,0
728471,765804,0,0
876543,170190,0,0
238745,495742,0,0
665534,623806,665534,2097854040
918237,766899,0,0
564738,603013,0,0
163937,056149,0,0
228844,033940,0,0
947264,795883,0,0
------- Iteracion 36 --------
Original,Colision,Equivalente,Hash
456789,174338,0,0
987654,469433,0,0
123456,848103,0,0
937586,301850,0,0
998263,447052,0,0
712874,814117,0,0
728471,948044,0,0
876543,917435,0,0
238745,204412,0,0
665534,057045,665534,2097854040
918237,958855,0,0
564738,547800,0,0
163937,741823,0,0
228844,736134,0,0
947264,892060,0,0
------- Iteracion 37 --------
Original,Colision,Equivalente,Hash
456789,645954,0,0
987654,042114,0,0
123456,751581,0,0
937586,473919,0,0
998263,005869,0,0
712874,665755,0,0
728471,460280,0,0
876543,933917,0,0
238745,205131,0,0
665534,073268,665534,2097854040
918237,757803,0,0
564738,348666,0,0
163937,184235,0,0
228844,486484,0,0
947264,578388,0,0
------- Iteracion 38 --------
Original,Colision,Equivalente,Hash
456789,153010,0,0
987654,042114,0,0
123456,308014,0,0
937586,428827,0,0
998263,558350,0,0
712874,343801,0,0
728471,588260,0,0
876543,170190,0,0
238745,287202,0,0
665534,370578,665534,2097854040
918237,413405,0,0
564738,711801,0,0
163937,348348,0,0
228844,696794,0,0
947264,852457,0,0
------- Iteracion 39 --------
Original,Colision,Equivalente,Hash
456789,578823,0,0
987654,476861,0,0
123456,673210,0,0
937586,291474,0,0
998263,559630,0,0
712874,093961,0,0
728471,831517,0,0
876543,156477,0,0
238745,433432,0,0
665534,039380,665534,2097854040
918237,401182,0,0
564738,463557,0,0
163937,412550,0,0
228844,179287,0,0
947264,125200,0,0
